station_id,station_num,station_name,gu,address,lat,lon,monthly_usage,total_rent,total_return,rent_202507,rent_202508,rent_202509,rent_202510,rent_202511
ST-2715,2715,2715.마곡나루역 2번 출구 ,강서구,서울특별시 노원구 서울 노원구 공릉동 547-1 ,37.625336,127.07019,15448,77240,79279,15460,15117,17664,14782,14217
ST-2728,2728,2728.마곡나루역 3번 출구,강서구,서울특별시 송파구 백제고분로 11 신천중학교 ,37.516403,127.077614,10614.4,53072,52534,10959,10879,11627,9488,10119
ST-1210,1210,1210. 롯데월드타워(잠실역2번출구 쪽),송파구,서울특별시 성북구 길음로13길 22 길음8골어린이공원 옆,37.608978,127.020248,10446,52230,52053,10084,9508,11755,10903,9980
ST-2701,2701,2701. 마곡나루역 5번출구 뒤편,강서구,서울특별시 노원구 서울 노원구 덕릉로83길 5 ,37.659557,127.075256,9704,48520,48886,10021,9422,10327,8905,9845
ST-230,230,230. 영등포구청역 7번출구,영등포구,서울특별시 서대문구 충정로2가 138 서대문역 8번출구 앞,37.564777,126.966148,8465.8,42329,40833,9136,8434,8989,7928,7842
ST-1153,1153,"1153. 발산역 1번, 9번 인근 대여소",강서구,서울특별시 동작구 흑석동 27-83 한강 현대아파트 건너편,37.505928,126.969231,8087.8,40439,40282,8180,8247,8643,7520,7849
ST-502,502,502. 자양(뚝섬한강공원)역 1번출구 앞,광진구,서울특별시 강동구 성내동 434-28 ,37.526794,127.130058,7659,38295,42688,9084,7582,9429,7173,5027
ST-2608,2608,2608. 송파구청,송파구,서울특별시 송파구 올림픽로 424 ,37.520218,127.114571,6621,33105,34445,6491,6199,6741,7109,6565
ST-1124,1124,1124. 발산역 6번 출구 뒤,강서구,서울특별시 노원구 노원로 434 상계2차중앙하이츠아파트 ,37.655018,127.067505,6475.8,32379,32463,6529,6613,7038,6053,6146
ST-2622,2622,2622. 올림픽공원역 3번출구,송파구,서울특별시 종로구 평창동 290-15 ,37.604698,126.964516,6392.6,31963,31773,5915,6004,7722,6477,5845
ST-1911,1911,1911. 구로디지털단지역 앞,구로구,서울특별시 서초구 신반포로 143 경남쇼핑센터 ,37.504787,126.999924,6038,30190,30984,5885,6050,6949,6003,5303
ST-769,769,769.CBS방송국 앞,양천구,서울특별시 서초구 바우뫼로1길 35 서초구 양재동 20-40,37.477852,127.03891,5961.8,29809,30506,5795,6332,6354,5850,5478
ST-1160,1160,1160. 양천향교역 7번출구앞,강서구,서울특별시 서초구 서초동 1389 서초4동주민센터,37.502319,127.02227,5939.2,29696,29254,5926,6132,6678,5576,5384
ST-1166,1166,1166. 강서구립등빛도서관,강서구,서울특별시 서초구 양재동 316-10 ,37.469242,127.039825,5928.6,29643,29552,6207,6168,6371,5482,5415
ST-785,785,"785.양천구청, 보건소 사잇길",양천구,서울특별시 강남구 자곡로 101 래미안강남힐즈 앞,37.472919,127.095886,5848.6,29243,29913,5558,6048,6639,5628,5370
ST-792,792,792.목동트라팰리스 웨스턴에비뉴,양천구,서울특별시 강남구 압구정로 339-2 가로판매 ,37.528381,127.039017,5793.8,28969,29458,5569,5905,6205,5657,5633
ST-2102,2102,2102. 봉림교 교통섬,관악구,서울특별시 도봉구 삼양로 590 ,37.655685,127.013382,5716.2,28581,29508,5588,6134,6775,5578,4506
ST-2733,2733,2733.마곡13단지 정문 앞,강서구,서울특별시 강동구 강동구 고덕로 130 ,37.554688,127.139404,5705,28525,27200,5654,5757,6180,5327,5607
ST-272,272,272. 당산육갑문,영등포구,서울특별시 동대문구 신설동 92-34 신설동역 10번출구 앞,37.575272,127.023468,5606.6,28033,28826,5299,6057,6984,5527,4166
ST-765,765,765. 오목교역 3번출구,양천구,서울특별시 서초구 서초대로 지하 294 서초구 서초동 1748-6,37.494217,127.013786,5569.6,27848,29893,5608,5921,5838,5272,5209
ST-2721,2721,2721.등촌1-10단지 교차로,강서구,서울특별시 노원구 상계동 620 ,37.670868,127.05114,5430.4,27152,26648,5723,5536,6163,4976,4754
ST-1050,1050,1050.  둔촌역 3번 출입구,강동구,서울특별시 강동구 고덕동 469 ,37.557934,127.144768,5351.6,26758,27485,6061,5527,6240,4635,4295
ST-2620,2620,2620. 송파나루역 4번 출구옆,송파구,서울특별시 송파구 성내천로35길 53 ,37.500034,127.159248,5251.6,26258,27319,5096,5483,5918,5186,4575
ST-113,113,113. 홍대입구역 2번출구 앞,마포구,서울특별시 광진구 자양로3길 7 광양중학교 앞,37.530235,127.08683,5247.6,26238,31843,5156,5144,5889,5066,4983
ST-583,583,583. 청계천 생태교실 앞,성동구,서울특별시 중랑구 신내역로1길 164 새솔초등학교,37.617439,127.109016,5241.4,26207,27276,4730,5344,6656,5782,3695
ST-781,781,781.신정보도육교 아래,양천구,서울특별시 서초구 바우뫼로12길 70 더케이호텔 입구(양재2),37.467506,127.034477,5229.2,26146,26325,5472,5466,5470,4758,4980
ST-529,529,529. 장한평역 8번 출구 앞,성동구,서울특별시 강서구 등촌로51나길 29 강서구 등촌동 520-6,37.548061,126.86042,5213,26065,25331,5402,5050,5905,4979,4729
ST-1151,1151,1151. 마곡역1번출구,강서구,서울특별시 동작구 신대방동 395 보라매공원 정문,37.497078,126.917793,5058,25290,26656,5049,4708,5649,4885,4999
ST-1867,1867,1867.대륭포스트타워6차 앞,금천구,서울특별시 송파구 잠실로 88 레이크팰리스 ,37.507759,127.091293,5016,25080,26829,5417,4935,5470,4529,4729
ST-2717,2717,2717.LG유플러스 마곡사옥,강서구,서울특별시 노원구 노원구 상계동 197-38 ,37.653519,127.071304,4994.8,24974,28342,5291,4721,5489,4632,4841
ST-1906,1906,1906. 신도림역 1번 출구 앞,구로구,서울특별시 서초구 서초동 1688-12 ,37.495564,127.01918,4989.6,24948,24929,4853,4777,5886,4906,4526
ST-247,247,247. 당산역 10번출구 앞,영등포구,서울특별시 성동구 응봉동 134-26 응봉삼거리,37.553986,127.033592,4791.6,23958,24144,5697,5634,6000,4959,1668
ST-1222,1222,1222. 잠실새내역 5번 출구 뒤,송파구,서울특별시 구로구 공원로 68 화광신문사 앞,37.50285,126.889481,4710.4,23552,24117,4542,4878,5478,4694,3960
ST-1625,1625,1625. 상계역 3번출구,노원구,서울특별시 동대문구 경희대로 23 경희의료원 ,37.594601,127.051971,4705.2,23526,23455,4882,4926,4883,4473,4362
ST-2739,2739,2739.수명산파크1단지교차로,강서구,서울특별시 강동구 상일동 133 ,37.550583,127.165421,4665.2,23326,23349,4571,4749,5220,4398,4388
ST-508,508,508. 성수아카데미타워 앞,성동구,서울특별시 강서구 양천로17길 6 강서구 방화동 769-23,37.573643,126.811806,4662.4,23312,21965,5142,4210,4906,4389,4665
